Source_IP,Destination_IP,Protocol,Packet_Size
192.168.43.13,20.42.73.26,TCP,55
20.42.73.26,192.168.43.13,TCP,66
192.168.43.13,13.89.179.10,TCP,66
13.89.179.10,192.168.43.13,TCP,66
192.168.43.13,13.89.179.10,TCP,54
192.168.43.13,13.89.179.10,TCP,630
13.89.179.10,192.168.43.13,TCP,1366
13.89.179.10,192.168.43.13,TCP,1366
192.168.43.13,13.89.179.10,TCP,54
13.89.179.10,192.168.43.13,TCP,1366
192.168.43.13,13.89.179.10,TCP,54
13.89.179.10,192.168.43.13,TCP,1366
13.89.179.10,192.168.43.13,TCP,1218
192.168.43.13,13.89.179.10,TCP,54
192.168.43.13,13.89.179.10,TCP,134
192.168.43.13,13.89.179.10,TCP,134
192.168.43.13,13.89.179.10,TCP,495
192.168.43.13,13.89.179.10,TCP,1131
192.168.43.13,13.89.179.10,TCP,85
13.89.179.10,192.168.43.13,TCP,54
13.89.179.10,192.168.43.13,TCP,157
13.89.179.10,192.168.43.13,TCP,116
192.168.43.13,13.89.179.10,TCP,54
192.168.43.13,13.89.179.10,TCP,85
13.89.179.10,192.168.43.13,TCP,367
13.89.179.10,192.168.43.13,TCP,54
192.168.43.13,13.89.179.10,TCP,54
192.168.43.13,8.8.8.8,UDP,74
192.168.43.13,8.8.8.8,UDP,74
8.8.8.8,192.168.43.13,UDP,152
8.8.8.8,192.168.43.13,UDP,193
192.168.43.13,13.107.5.91,TCP,66
13.107.5.91,192.168.43.13,TCP,66
192.168.43.13,13.107.5.91,TCP,54
192.168.43.13,13.107.5.91,TCP,518
13.107.5.91,192.168.43.13,TCP,54
13.107.5.91,192.168.43.13,TCP,1366
13.107.5.91,192.168.43.13,TCP,1366
192.168.43.13,13.107.5.91,TCP,54
13.107.5.91,192.168.43.13,TCP,1366
13.107.5.91,192.168.43.13,TCP,1366
192.168.43.13,13.107.5.91,TCP,54
13.107.5.91,192.168.43.13,TCP,848
13.107.5.91,192.168.43.13,TCP,1366
192.168.43.13,13.107.5.91,TCP,66
192.168.43.13,13.107.5.91,TCP,134
192.168.43.13,13.107.5.91,TCP,134
192.168.43.13,13.107.5.91,TCP,411
13.107.5.91,192.168.43.13,TCP,54
13.107.5.91,192.168.43.13,TCP,513
13.107.5.91,192.168.43.13,TCP,116
192.168.43.13,13.107.5.91,TCP,54
13.107.5.91,192.168.43.13,TCP,54
192.168.43.13,13.107.5.91,TCP,85
13.107.5.91,192.168.43.13,TCP,85
13.107.5.91,192.168.43.13,TCP,54
192.168.43.13,13.107.5.91,TCP,54
13.107.5.91,192.168.43.13,TCP,346
192.168.43.13,13.107.5.91,TCP,54
192.168.43.13,8.8.8.8,UDP,81
192.168.43.13,8.8.8.8,UDP,81
8.8.8.8,192.168.43.13,UDP,160
8.8.8.8,192.168.43.13,UDP,172
192.168.43.13,8.8.8.8,UDP,78
192.168.43.13,8.8.8.8,UDP,78
